𑐀𑐄𑐮 | अउल | əulə | (aula) | Noun | 1. malaria
𑐤𑑂𑐫𑐵𑐥𑑄𑐥𑐶𑐮𑐶 | न्ह्यापंपिलि | nʱjapə̃ːpili | (nhyāpaṃpili) | Noun | 1. eardrum
𑐥𑐘𑑂𑐖𑐵𑐧𑐷 | पञ्जाबी | pənd͡ʑabiː | (pañjābī) | _ | 1. Punjabi
𑐥𑐟𑐶𑑄 | पतिं | pətĩː | (patiṃ) | Verb | 1. Devanagari_script form of patiṃ, which is first-person singular aorist
𑐥𑐮𑐾𑐳𑑂𑐰𑐵𑑄 | पलेस्वां | pəleswãː | (paleswāṃ) | Noun | 1. water_lily
𑐥𑐵𑑅 | पाः | paː | (pā:) | Noun | 1. axe
𑐥𑐵𑑅𑐮𑐹𑐐𑐸_𑐳𑐩𑐠𑐬 | पाःलूगु समथर | paːluːɡu səmətʰəɾə | (pā:lūgu samathara) | Noun | 1. inclined_plane
𑐥𑐵𑐴𑐵𑑄 | पाहां | pahãː | (pāhāṃ) | Noun | 1. guest
𑐥𑐸𑐮𑐶 | पुलि | puli | (puli) | Noun | 1. knee
𑐥𑐸𑐮𑐶𑐎𑑂𑐰𑑃𑐫𑑂 | पुलिक्वँय् | pulikwɔ̃ɛː | (pulikwãê) | Noun | 1. kneecap
𑐥𑑂𑐫𑐎𑐸𑑄 | प्यकुं | pjəkũː | (pyakuṃ) | Noun | 1. quadrilateral
𑐥𑑂𑐫𑐵𑐏𑑄 | प्याखं | pjakʰə̃ː | (pyākhaṃ) | Noun | 1. dance
𑐥𑑂𑐬𑐰𑐾𑐐 | प्रवेग | pɾəweɡə | (prawega) | Noun | 1. acceleration
𑐥𑑂𑐰𑐮𑐵𑐏 | प्वलाख | pwɔlakʰə | (pwalākha) | Noun | 1. platinum
𑐦𑐂 | फइ | pʰəi | (phai) | Noun | 1. sheep
𑐦𑐫𑑂 | फय् | pʰɛː | (phê) | Noun | 1. wind
𑐦𑐫𑑂‌𑐏𑑅 | फय्‌खः | pʰɛːkʰəː | (phêkha:) | Noun | 1. airplane
𑐦𑐵 | फा | pʰa | (phā) | Noun | 1. five
𑐦𑐶 | फि | pʰi | (phi) | Noun | 1. sand
𑐦𑐶𑐐𑑅 | फिगः | pʰiɡəː | (phiga:) | Noun | 1. pebble
𑐦𑐶𑐥𑐹 | फिपू | pʰipuː | (phipū) | Noun | 1. mica
𑐦𑐶𑐳𑑅𑐧𑐸𑑃 | फिसःबुँ | pʰisəːbũ | (phisa:bũ) | Noun | 1. desert
𑐦𑐸𑐟𑐶 | फुति | pʰuti | (phuti) | Noun | 1. (geometry) point
𑐧𑐏𑐸𑑄 | बखुं | bəkʰũː | (bakhuṃ) | Noun | 1. pigeon
𑐧𑐣𑐫𑑂‌𑐖𑑂𑐫𑐵 | बनय्‌ज्या | bənɛːd͡ʑja | (banêjyā) | Noun | 1. business
𑐧𑐩𑐹 | बमू | bəmuː | (bamū) | Noun | 1. carnivore
𑐧𑑄𑐩𑐾𑐫𑑂 | बंमेय् | bə̃ːmeɛː | (baṃmeê) | Noun | 1. wild water_buffalo
𑐧𑐮𑐵 | बला | bəla | (balā) | Noun | 1. arrow
𑐧𑑅𑐳𑐶 | बःसि | bəːsi | (ba:si) | Noun | 1. peach
𑐧𑐴𑐣𑐶 | बहनि | bəhəni | (bahani) | Noun | 1. night
𑐧𑑅𑐴𑑃𑐫𑑂 | बःहँय् | bəːhɛ̃ː | (ba:hễ) | Noun | 1. swan
𑐧𑐶𑐡𑐵 | बिदा | bida | (bidā) | Noun | 1. holiday
𑐧𑐸𑐏𑑃𑐥𑑁 | बुखँपौ | bukʰə̃pəu | (bukhãpau) | Noun | 1. newspaper
𑐧𑐸𑑃𑐕𑐸𑑃 | बुँछुँ | bũt͡ɕʰũ | (bũchũ) | Noun | 1. squirrel
𑐧𑐸𑑃𑐖𑑂𑐫𑐵 | बुँज्या | bũd͡ʑja | (bũjyā) | Noun | 1. agriculture
𑐧𑐸𑐮𑐶 | बुलि | buli | (buli) | Noun | 1. cereal (grain)
𑐧𑐸𑐳𑐵 | बुसा | busa | (busā) | Noun | 1. face_powder
𑐧𑐹𑐧𑑅 | बूबः | buːbəː | (būba:) | Noun | 1. legume
𑐧𑐾𑐮𑐵 | बेला | bela | (belā) | Noun | 1. violin
𑐧𑑂𑐫𑐵𑑄𑐔𑐵 | ब्यांचा | bjãːt͡ɕa | (byāṃcā) | Noun | 1. frog
𑐧𑑂𑐫𑐵𑑄𑐥𑐵𑐳𑐶 | ब्यांपासि | bjãːpasi | (byāṃpāsi) | Noun | 1. strawberry
𑐧𑑂𑐰𑐴 | ब्वह | bwɔhə | (bwaha) | Noun | 1. heron
𑐧𑑂𑐰𑐴𑑅 | ब्वहः | bwɔhəː | (bwaha:) | Noun | 1. shoulder
𑐨𑐵𑐫𑑂 | भाय् | bʱæː | (bhæ) | Noun | 1. language
𑐨𑐵𑐫𑑂‌𑐮𑐔𑑄 | भाय्‌लचं | bʱæːlət͡ɕə̃ː | (bhælacaṃ) | Noun | 1. grammar
𑐨𑐸𑐏𑐵 | भुखा | bʱukʰa | (bhukhā) | Noun | 1. earthquake
𑐨𑐸𑐏𑐵𑐔𑐵 | भुखाचा | bʱukʰat͡ɕa | (bhukhācā) | Noun | 1. donkey
𑐨𑐸𑐟𑐹 | भुतू | bʱutuː | (bhutū) | Noun | 1. kitchen
𑐨𑐸𑐫𑐸 | भुयु | bʱuju | (bhuyu) | Noun | 1. gray
𑐨𑐸𑐮𑐹𑐏𑐵 | भुलूखा | bʱuluːkʰa | (bhulūkhā) | Noun | 1. owl
